,Control_1.1,Control_1,Control_2.1,Control_2,Control_3.1,Control_3,Control_4.1,Control_4,Cool_1,Cool_2,Cool_3,Cool_4,Heat_1.1,Heat_1,Heat_2.1,Heat_2,Heat_3.1,Heat_3,Heat_4.1,Heat_4
Sym_100317_c0_g2,5.2262274069508,5.27088432489917,5.28868837020493,5.63351154230403,5.47973632832107,5.41074853181394,5.20633254305354,5.38114883711361,5.35483263541213,5.58316663994674,5.55344227733634,5.59052251232271,5.66114005495663,5.56048653788421,5.45835016471338,5.39684284946035,5.32980947093744,5.64101954297403,5.73451793720365,5.38868320986666
Sym_100341_c0_g1,1.62526096939361,2.01591289567563,2.1012320864895,1.77018608467008,1.81728928999568,2.18005665978947,1.8919697375233,1.72100821554127,1.97406715009083,1.66065319622041,2.23211373996494,1.79191168293112,1.97017830108845,1.90029139317177,1.88715284387459,2.05482738240874,2.05900558317514,1.94472357739852,1.54879318670863,1.68380830685867
Sym_100382_c0_g5,6.73788927405248,6.78816500961206,6.73366561500491,6.68759343509274,6.74137730471749,6.66642189036851,6.89345205660491,6.86502214326399,6.8581815673958,7.11772405888132,7.13265682763739,6.93069733582024,6.53768930361656,6.76392935571028,6.83958045761502,6.79761623257129,6.76943642011755,6.73613894657111,6.78669697881318,6.68138199227449
Sym_100466_c0_g1,6.97066760655732,7.05443647192924,7.04712526543994,6.8667764801061,7.21483866165692,7.18982766817011,6.95432721580974,7.38632330258107,7.34220473958999,7.31703139700298,7.42659770498758,7.08080815931837,6.64325775431082,7.2113678379746,6.95946246328393,7.15868426463146,7.12703268984498,6.85602621821383,7.06042359788839,6.96487229388029
Sym_100546_c0_g1,4.29109456116921,4.43457368331275,4.27824867456245,3.80566594894691,4.07435171167239,4.61511663909862,4.45317292204028,4.78783999353996,4.8615897419472,4.98642563692038,5.11524664437365,4.62823642241357,4.2831604796833,4.01049253586825,4.20663352970225,4.45359994568115,3.98289631589806,4.59612100060115,4.30828989412281,4.22846193243946
Sym_100611_c0_g1,6.86872741455217,6.90028359868934,6.89478441316384,6.56391100699947,6.85602098100605,7.07610418714902,7.31689821046399,6.58108113293443,7.37370667452352,7.09102629263949,7.33420423993146,7.09562434456798,5.80096889905524,6.89941997528451,6.98170179753703,6.90312939003722,6.87777092517915,6.78532536005525,6.56457413581144,6.80438030171765
Sym_100611_c0_g2,6.05901602654939,6.11308591083762,6.24890437384963,5.9915161631689,6.33693008767154,6.33822359352238,6.30234555397065,6.4684271415666,6.91787071127622,6.54736250282376,6.74205220804123,6.30111302446603,5.39766873908967,6.19707150811018,6.10761307589179,6.19626368355319,6.01169029366896,6.03834599211979,5.98404330327225,6.23281477304151
Sym_100645_c0_g1,4.00733267331175,4.14327915984118,4.34020711547769,4.18231713264409,4.5345369458819,4.06481083717294,4.06773286558387,4.427713520868,4.44138382322817,4.57494645948408,4.46275451798297,4.45637491969272,3.98945219523332,4.40809806750451,4.25703506468945,3.9017287573794,3.86409810015691,4.36399689826964,4.20429293927669,4.20020798428223
Sym_100705_c0_g1,5.86699400471838,5.84016384758872,5.74493731848296,5.60188721059345,5.83139252153759,5.3658710112413,5.88531654800974,5.77126328374726,6.1011571076086,6.20651093249692,6.13665384916904,6.13654631318785,5.68640444401557,5.46691693893769,5.41196785411048,5.38203674737512,5.67332550332283,5.46382966223126,5.38474850936157,5.58979846088649
Sym_100706_c0_g1,2.04861243078501,2.18965236313016,1.89508135655073,2.15928659964785,1.80202919686322,2.73923841003641,2.27604385648479,2.03422992559258,2.38227164869735,2.33849090816805,2.52720942231055,2.38766914306107,1.88061537526485,1.99515296463251,2.15438533019708,1.99896647977346,1.91725301876297,2.03004157950433,1.90767748941756,2.09246787742081
