,kMEmagenta
isogroupSym_101261_c2_g1,0.0624171130786509
isogroupSym_101293_c0_g3,0.313029942467022
isogroupSym_101299_c0_g1,-0.269135284299861
isogroupSym_101300_c0_g1,0.173837032222319
isogroupSym_101304_c1_g2,-0.186221786511016
isogroupSym_101306_c1_g1,0.326965411397414
isogroupSym_101308_c4_g1,-0.405909459281955
isogroupSym_101312_c0_g1,-0.410885337387569
isogroupSym_101312_c0_g2,-0.49046193090206
isogroupSym_101326_c0_g1,0.723119650072613
isogroupSym_101329_c0_g1,0.253465120461147
isogroupSym_101338_c0_g1,0.760711748279963
isogroupSym_10133_c0_g1,0.349388165538362
isogroupSym_101341_c0_g1,-0.44426303486859
isogroupSym_101361_c0_g1,0.443839448571018
isogroupSym_101375_c0_g1,0.411809689340263
isogroupSym_101385_c0_g1,-0.280489328633631
isogroupSym_101406_c0_g2,0.416156487659633
isogroupSym_101408_c0_g1,-0.800331246570508
isogroupSym_101419_c1_g1,0.70069676526462
isogroupSym_101420_c0_g1,0.25696274915627
isogroupSym_101422_c0_g1,-0.214377262711556
isogroupSym_101433_c0_g1,0.241358327528218
isogroupSym_101439_c1_g1,0.56265192731985
isogroupSym_101441_c0_g1,0.648727777799199
isogroupSym_101460_c0_g2,-0.0235656765460175
isogroupSym_101460_c0_g3,0.000412012940702854
isogroupSym_101460_c0_g4,0.170180330380466
isogroupSym_101486_c0_g1,-0.0761166123397362
isogroupSym_101486_c0_g2,0.404420240009295
isogroupSym_101501_c0_g1,0.666863400225247
isogroupSym_101501_c0_g2,0.671097504247762
isogroupSym_101502_c1_g1,0.644084912486386
isogroupSym_101510_c0_g1,-0.111045254826392
isogroupSym_101537_c0_g1,0.4254829226763
isogroupSym_101537_c0_g2,0.501963548629209
isogroupSym_101543_c0_g2,0.937505790094798
isogroupSym_101543_c0_g3,0.897650320562147
isogroupSym_101549_c0_g1,0.541671195202437
isogroupSym_101551_c0_g1,0.491522633504754
isogroupSym_101567_c0_g1,-0.288603858181342
