,kMEbrown
isogroupSym_102785_c2_g2,-0.8241570676888
isogroupSym_102785_c3_g1,-0.392699186309044
isogroupSym_102785_c7_g2,-0.801189657742825
isogroupSym_10278_c0_g1,-0.446545412922772
isogroupSym_102797_c0_g2,-0.561519186521634
isogroupSym_102798_c0_g2,0.434837286014283
isogroupSym_102798_c0_g3,-0.074685034518578
isogroupSym_102806_c2_g3,-0.553918184919927
isogroupSym_102806_c2_g4,0.417843378147237
isogroupSym_102825_c1_g2,0.17222240459692
isogroupSym_102848_c3_g1,0.370543709045922
isogroupSym_102873_c0_g1,-0.390107090816599
isogroupSym_102873_c0_g2,-0.082865448289677
isogroupSym_10287_c0_g1,-0.529651358285273
isogroupSym_10289_c0_g1,0.507434976343437
isogroupSym_102902_c2_g1,-0.616840333890504
isogroupSym_102918_c1_g1,-0.0414278941746577
isogroupSym_102918_c1_g2,-0.125543500356681
isogroupSym_102918_c1_g3,-0.480271947215827
isogroupSym_102927_c0_g1,0.43823520255721
isogroupSym_102930_c1_g1,-0.0490315419291007
isogroupSym_102930_c4_g1,-0.769023310344874
isogroupSym_102930_c7_g1,-0.537287095152316
isogroupSym_102930_c7_g2,-0.657068445832435
isogroupSym_102930_c7_g4,-0.449728499865757
isogroupSym_102949_c1_g1,-0.230537188262116
isogroupSym_102957_c2_g1,0.256840704151357
isogroupSym_102974_c1_g1,-0.839703850786778
isogroupSym_102974_c1_g2,-0.166704895065342
isogroupSym_102976_c0_g1,0.691495963920596
isogroupSym_102979_c10_g1,-0.298940721726149
isogroupSym_102979_c12_g1,-0.618748536977101
isogroupSym_102979_c13_g1,0.537140625528954
isogroupSym_102979_c2_g1,0.224401453280854
isogroupSym_102979_c4_g1,0.768861829311054
isogroupSym_102979_c4_g2,-0.911020054508888
isogroupSym_102979_c7_g2,0.945309032125689
isogroupSym_102979_c7_g3,0.261748796286156
isogroupSym_102979_c9_g1,-0.0601094428066303
isogroupSym_102979_c9_g2,0.0915131331016238
isogroupSym_102988_c1_g1,0.0393534479799598
isogroupSym_102988_c1_g2,-0.4849530421958
isogroupSym_102992_c2_g1,-0.208326110887977
isogroupSym_103005_c0_g1,-0.116210496248682
isogroupSym_103005_c0_g2,0.92837149138586
isogroupSym_103012_c1_g1,-0.457578677533096
isogroupSym_103012_c2_g3,0.0608820539650502
isogroupSym_103012_c3_g1,-0.44450046128422
isogroupSym_103018_c0_g1,0.272395218788652
isogroupSym_103019_c0_g1,-0.197507481771555
isogroupSym_103044_c3_g2,-0.013673959122437
isogroupSym_103046_c0_g1,-0.026331632178412
isogroupSym_103046_c1_g4,-0.54567517086237
isogroupSym_103056_c0_g1,0.67076094516624
isogroupSym_103066_c3_g3,-0.15236948246569
isogroupSym_103069_c0_g1,-0.419694633131607
isogroupSym_103069_c0_g2,-0.423891011805073
isogroupSym_103069_c0_g3,0.849018105086322
isogroupSym_103070_c0_g2,0.0322791088506421
isogroupSym_103089_c0_g1,0.322507755911862
isogroupSym_103091_c0_g1,-0.658801105566347
isogroupSym_103093_c3_g10,0.733651306162335
isogroupSym_103093_c3_g2,-0.0434379726309028
isogroupSym_103093_c3_g3,-0.231714183894357
isogroupSym_103093_c3_g5,-0.622825390130236
isogroupSym_103093_c3_g8,0.90024086035258
isogroupSym_103097_c0_g1,-0.864305469396279
isogroupSym_103127_c6_g1,-0.486678709208953
isogroupSym_103171_c0_g1,0.530279165240953
isogroupSym_103193_c4_g1,0.113233819144387
isogroupSym_103218_c0_g1,-0.710101370114498
isogroupSym_103226_c0_g1,0.624835152040949
isogroupSym_103226_c0_g2,-0.585713235052752
isogroupSym_103226_c0_g4,0.0479277882330851
isogroupSym_103226_c0_g5,-0.15740319729456
isogroupSym_103230_c2_g1,-0.598697635977894
isogroupSym_103230_c3_g2,-0.00926204709415477
isogroupSym_103230_c3_g4,0.136662234886268
isogroupSym_103230_c4_g1,-0.819167161275682
isogroupSym_103230_c4_g2,-0.319793141687927
isogroupSym_103230_c4_g3,-0.217484342158476
isogroupSym_103230_c5_g1,0.488520234587985
isogroupSym_103230_c5_g2,0.477565944405743
isogroupSym_103230_c6_g3,0.247180807825439
isogroupSym_103230_c6_g5,0.0894225429604532
isogroupSym_10324_c0_g1,0.630779667966103
isogroupSym_103259_c1_g1,0.694285456776618
isogroupSym_103259_c1_g2,0.915831996590338
isogroupSym_103259_c1_g3,0.724062146516665
