,kMEcyan
isogroupSym_103230_c3_g4,0.345293741288687
isogroupSym_103230_c4_g1,0.195069753509213
isogroupSym_103230_c4_g2,0.0481054725858944
isogroupSym_103230_c4_g3,-0.234503653049446
isogroupSym_103230_c5_g1,-0.337863069221383
isogroupSym_103230_c5_g2,0.168024147615276
isogroupSym_103230_c6_g3,0.455747591750112
isogroupSym_103230_c6_g5,0.511891149354371
isogroupSym_10324_c0_g1,-0.252002163760248
isogroupSym_103259_c1_g1,-0.515984382113795
isogroupSym_103259_c1_g2,-0.355850239864773
isogroupSym_103259_c1_g3,-0.355584687231773
isogroupSym_103259_c1_g4,0.0212682852900508
isogroupSym_103259_c2_g1,0.470851518194439
isogroupSym_103264_c0_g1,-0.460905120315889
isogroupSym_103270_c0_g1,0.0162368174201202
isogroupSym_103270_c0_g3,0.335895937683081
isogroupSym_103270_c0_g4,0.216554043725413
isogroupSym_103279_c2_g1,-0.0111878763431615
isogroupSym_103284_c0_g1,0.195932907293891
isogroupSym_103284_c0_g3,0.0866405778887605
isogroupSym_103284_c0_g4,-0.232167401906574
isogroupSym_103301_c0_g1,-0.273132788456712
isogroupSym_103304_c0_g1,0.2501749264738
isogroupSym_103304_c0_g2,0.415870593600342
isogroupSym_103304_c0_g3,0.091096349002861
isogroupSym_103304_c0_g4,-0.130202935536324
isogroupSym_103312_c0_g1,0.0615985519962487
isogroupSym_103313_c5_g1,0.27398196164931
isogroupSym_103340_c0_g1,0.426872192348404
isogroupSym_103362_c0_g1,-0.505178793358216
isogroupSym_103395_c0_g1,0.0814978138299414
isogroupSym_103410_c3_g5,0.271408843080329
isogroupSym_103418_c0_g1,0.109150006913693
isogroupSym_103431_c6_g1,-0.237817812527229
isogroupSym_103437_c1_g1,-0.406557234652238
isogroupSym_103437_c2_g1,0.519490148809449
isogroupSym_103440_c0_g1,-0.156692383935286
isogroupSym_103441_c0_g1,0.170305738893274
isogroupSym_103450_c0_g1,-0.307779004443102
isogroupSym_103487_c0_g1,-0.292084592540474
isogroupSym_103490_c0_g1,-0.117959336424296
isogroupSym_103496_c0_g1,-0.174025632386794
isogroupSym_103506_c0_g1,0.231692752771254
isogroupSym_103528_c0_g1,0.280056217034077
isogroupSym_103546_c2_g1,0.501787534415877
isogroupSym_103554_c1_g2,-0.349698916195613
isogroupSym_103560_c1_g11,0.344222163747432
isogroupSym_103583_c3_g1,0.47307162766867
isogroupSym_103585_c1_g1,0.205526681348139
isogroupSym_103585_c1_g4,0.0454288956798404
isogroupSym_103595_c3_g1,0.265444249061243
isogroupSym_103595_c7_g1,0.192728122667153
isogroupSym_103595_c7_g2,-0.0432823309220382
isogroupSym_103595_c7_g4,-0.500665258785259
isogroupSym_103595_c8_g4,-0.422185874951668
isogroupSym_103610_c0_g1,-0.217417161351454
isogroupSym_103611_c10_g1,0.25305634417519
isogroupSym_103611_c7_g1,0.296635298681622
isogroupSym_103621_c0_g1,-0.226081303580745
isogroupSym_103643_c3_g3,-0.0889533146799635
isogroupSym_103653_c0_g1,0.124355463951167
isogroupSym_103660_c1_g1,-0.474922014339731
isogroupSym_103679_c5_g1,-0.0700939753993135
isogroupSym_103681_c0_g1,-0.190756408398971
isogroupSym_103688_c0_g1,-0.264159549848279
isogroupSym_103703_c0_g4,0.32939760823693
isogroupSym_103720_c5_g10,-0.0767910174135408
isogroupSym_103720_c5_g11,0.0512021255299149
isogroupSym_103720_c5_g4,0.0121480827227342
isogroupSym_103720_c5_g7,0.551414173505335
isogroupSym_103744_c0_g1,-0.20807970688707
isogroupSym_103750_c5_g1,-0.814260887023124
isogroupSym_103750_c6_g1,0.200058152558115
isogroupSym_103755_c0_g1,0.385061538244637
isogroupSym_103761_c2_g1,0.0240171949529708
isogroupSym_103763_c0_g1,0.104506501180311
isogroupSym_103763_c2_g1,0.346822515871452
isogroupSym_103763_c3_g2,-0.0663581734029998
isogroupSym_103763_c4_g1,0.23370388252588
isogroupSym_103763_c6_g1,-0.155030185401321
isogroupSym_103763_c6_g2,-0.0725892254189857
isogroupSym_103763_c7_g3,0.0107815600405839
isogroupSym_103763_c7_g5,0.030646008506726
isogroupSym_103766_c9_g1,-0.540835500583131
isogroupSym_103778_c1_g1,0.370654250901761
isogroupSym_103784_c0_g1,-0.184510715525217
isogroupSym_103784_c0_g2,0.226758453770773
isogroupSym_103788_c0_g1,-0.277811101136476
isogroupSym_103788_c0_g5,-0.540719468099165
isogroupSym_103800_c7_g2,-0.359910593619842
isogroupSym_103800_c7_g3,0.636867054531652
isogroupSym_103804_c0_g1,-0.348296205567589
isogroupSym_103830_c4_g3,0.125153448976887
