,kMEturquoise
Sym_102232_c0_g1,-0.804164604434702
Sym_102249_c1_g1,-0.945868871475647
Sym_102262_c0_g2,-0.4439308021052
Sym_102268_c2_g1,0.205263390477658
Sym_102271_c1_g2,-0.400794146145747
Sym_102275_c2_g1,0.649287195161945
Sym_102275_c2_g2,-0.609811046926842
Sym_102279_c0_g1,0.524418057308035
Sym_102286_c0_g1,0.0213578338761676
Sym_102287_c1_g2,-0.576960992561424
Sym_1022_c0_g1,0.385603168848165
Sym_102304_c2_g4,0.190574725394469
Sym_102314_c0_g1,-0.717085543331689
Sym_102318_c0_g1,-0.837804692453189
Sym_102320_c4_g1,0.56179719711286
Sym_102320_c4_g2,-0.861954666732514
Sym_102320_c5_g2,-0.160704708164549
Sym_102320_c5_g3,-0.818029603267626
Sym_102322_c3_g4,0.166819478668861
Sym_102324_c0_g5,-0.835942051662528
Sym_102328_c0_g1,-0.790812288178191
Sym_102356_c0_g2,0.00877680370156562
Sym_102382_c3_g3,-0.838239873871569
Sym_102395_c0_g1,-0.555352522326894
Sym_102421_c0_g4,0.606128144888274
Sym_102428_c0_g1,-0.940323446731781
Sym_102429_c1_g5,-0.629729753572349
Sym_102451_c2_g7,-0.430255987076757
Sym_102462_c0_g1,0.421827015391284
Sym_102464_c0_g1,-0.815409329265787
Sym_102468_c0_g1,-0.291879051694268
Sym_102471_c7_g1,-0.748148828766087
Sym_102481_c0_g1,0.592314298710762
Sym_102517_c0_g1,-0.0156648478484383
Sym_102522_c0_g1,-0.118135968179017
Sym_102531_c0_g3,0.708284768695455
Sym_102531_c1_g1,0.0885557782634502
Sym_102534_c1_g1,0.0867991092949477
Sym_102539_c1_g2,-0.661298923878141
Sym_102539_c1_g5,-0.789342583737201
Sym_102539_c1_g6,-0.0423905002152596
Sym_102539_c1_g8,-0.534229666722561
Sym_102539_c1_g9,-0.629657795511069
Sym_102563_c6_g1,-0.723714678885079
Sym_102575_c0_g1,0.394166292067351
Sym_102580_c0_g1,-0.416050635524648
Sym_102596_c1_g1,0.599582442547814
Sym_102599_c0_g1,-0.169963235869466
Sym_102612_c1_g2,-0.281848810988277
Sym_102636_c0_g1,-0.626510382427968
Sym_102649_c0_g2,0.645850324998528
Sym_102649_c0_g5,0.391372330933541
Sym_102649_c1_g7,-0.953781332381765
Sym_102649_c1_g9,-0.214165065183901
Sym_102654_c0_g1,-0.53111586239353
Sym_102664_c0_g1,-0.66721351824332
Sym_102670_c3_g1,-0.483609516850922
Sym_102670_c4_g1,0.489922773937793
Sym_102670_c4_g2,0.775730351600128
Sym_102677_c1_g1,0.342488847332215
Sym_102677_c1_g4,0.31341900056357
Sym_102677_c1_g5,0.462854654370278
Sym_102677_c1_g6,0.0118820772396403
Sym_102677_c2_g1,0.357757732571835
Sym_102677_c2_g3,0.338885122985752
Sym_102678_c0_g2,-0.449169607024625
Sym_102678_c1_g5,0.543831692605424
Sym_102684_c2_g7,0.649420166288265
Sym_102695_c0_g1,-0.745368810103218
Sym_102696_c7_g1,0.331297300258555
Sym_102702_c0_g1,0.582185110396042
Sym_102710_c0_g1,-0.241650670938057
Sym_102711_c0_g1,-0.637246914373229
Sym_102712_c0_g1,-0.543442493503488
Sym_102717_c4_g1,-0.234855618068365
Sym_102717_c4_g5,0.614296763972657
Sym_102717_c4_g6,0.801193738034966
Sym_102721_c2_g1,-0.89538574711738
Sym_102721_c2_g2,0.15373663934978
Sym_102731_c0_g2,0.22974763750276
Sym_102739_c0_g1,0.570696036089282
Sym_102739_c0_g3,0.63335294511953
Sym_102744_c1_g1,0.482671475528421
Sym_102764_c1_g1,-0.65299342123626
Sym_102764_c1_g3,0.939072809967396
Sym_102769_c0_g1,0.561118515556005
Sym_102770_c0_g1,0.228247427853127
Sym_102774_c0_g1,-0.780056434406325
Sym_102777_c0_g1,-0.82537239217452
Sym_102785_c0_g1,-0.480139982299295
Sym_102785_c2_g2,0.779800745051915
Sym_102785_c3_g1,0.338526314336191
Sym_102785_c7_g2,0.212694843826686
Sym_10278_c0_g1,0.652270338901322
Sym_102797_c0_g2,-0.128689123502893
