,Control_1.1,Control_1,Control_2.1,Control_2,Control_3.1,Control_3,Control_4.1,Control_4,Cool_1,Cool_2,Cool_3,Cool_4,Heat_1.1,Heat_1,Heat_2.1,Heat_2,Heat_3.1,Heat_3,Heat_4.1,Heat_4
Sym_100492_c0_g1,4.49053913903427,4.39229905256726,4.48391342507717,4.35447255128294,4.37691594587936,4.40365159125523,4.65847334945311,4.93951761283203,3.96831566844205,3.87352357223121,3.65294422665676,3.62488720360947,4.65734717605631,4.30433623566013,4.36073941293467,4.05433041893573,4.80064604992414,4.54556013734424,3.77565396115572,4.42828280088219
Sym_100541_c0_g1,4.71068804567792,4.59670567853179,4.7082201482033,4.85603385319931,4.56056404435595,4.59337617779948,4.52562637502022,4.81445164383133,4.38684062997406,4.33544536422362,3.92137344725604,3.89133784798327,4.75349585472456,4.58733472436904,4.60622881340524,4.2782369560935,4.25011301702469,4.36843906875591,4.52301672868279,4.41157138556249
Sym_100572_c0_g3,6.45644967620972,6.37963263908073,6.13406071775653,6.02194739698685,6.56166813216798,6.61979984892067,6.43873145801953,6.33548804691643,6.12367503883527,6.26268970329238,6.14932679407467,6.17504951051329,6.12707918101155,6.42795530964503,6.29529310833266,6.53838787801936,6.52231663223712,6.22184822504602,6.36233600882962,6.4409010941092
Sym_100703_c0_g1,6.12852067268225,5.9546128742229,5.85011482291883,5.60028127998242,5.37928519499056,5.917525187278,5.89944905474407,5.72030664017835,5.07386096895414,5.27873862349392,5.02662953885599,5.70806186067145,5.42178369242035,5.42089974948079,5.2687393466643,5.18809625311477,5.64502911502112,5.4733043739769,5.83458480322055,5.64161315833374
Sym_100761_c0_g3,2.72330919749915,3.09434312904889,2.91304567845752,2.68672986579283,3.2650579417677,2.92191764825307,2.79976790824219,2.70476523477598,2.92981269142735,2.40866625510326,2.22701706184626,2.71719557612398,2.79375728261241,2.55797631012873,2.49286375848866,2.48913472782669,2.83324414028222,2.6987686533241,2.81790576040686,2.97532260900607
Sym_100793_c2_g1,9.67674804568457,9.68146509311308,9.82671016782119,9.62684136510204,9.67734806633873,9.7661125054937,9.6442597785836,9.7138419339073,9.23178818036436,9.21580257142428,9.21662911875406,9.08141129537625,9.02639769243679,9.37386406179545,9.24688383256197,9.46345383889555,9.5002215928308,9.37933337952268,9.42917557158556,9.52448460670203
Sym_100802_c0_g1,10.1186082314305,10.1620242772574,10.0937203132333,10.4142449777568,10.2380496733463,10.2959851157721,10.2613279911121,10.458910046189,10.0870907432492,9.99858982670954,9.79478171509145,9.93871025950468,10.1569809141759,9.99853680087911,10.1170787608146,10.0043992364618,9.95634364647104,10.2022799003936,10.1035772107797,10.1350782345289
Sym_100834_c0_g1,2.75138487412115,2.68288457044776,2.76502667580528,2.46904805565161,2.93488650566218,2.79120635677357,2.84509020648869,3.10095223273295,2.79854551691998,2.46727951796129,2.3555154825665,2.41380174486408,2.82780990794402,2.7269288179065,2.69213455735497,2.45461213523615,2.45911844864992,2.84534235841032,2.72295562065246,2.86026266936415
Sym_100921_c0_g1,2.95509163127363,3.42054194067963,3.30457226726943,3.38392029910158,3.45198818095639,3.17770343340092,3.55017662528272,3.38986563993838,3.09415702390533,3.09470858495683,3.53774401639305,3.06781748999925,3.22902096625644,3.38287122839764,3.17116475608771,3.61568646423726,3.12772785440554,2.95372227149786,2.98966702119726,3.3709644191351
Sym_100952_c0_g2,4.08610612378258,4.43773691701368,4.14061407482846,3.84106755257086,4.20060648653276,4.24728539497266,4.16072050174438,4.3585271036283,3.8687817341044,3.51025214880551,3.45554200335277,3.37363647956651,3.82442822812219,4.21017928082443,4.18810129475375,3.83469808717149,3.92785125565619,4.34725112022885,3.90673790803381,3.90485249898479
Sym_100969_c0_g1,4.99638699194899,4.80393246426539,5.1402051332774,4.97353157408263,5.21966827899782,4.8723054032725,5.35211704419844,5.09698390547648,4.74428493248912,4.37171731600426,4.31855174476389,4.65401996888973,5.4213074747415,3.84315278437288,4.68914154944186,4.49605983384588,4.50452655949038,5.008630770342,4.38046054802109,4.91754509379245
Sym_101037_c0_g1,9.91772063663053,9.90812781850968,9.9539501931569,9.77333202148579,9.87469988343938,9.94954881019658,9.93738025817987,9.68148379039608,9.64968751514539,9.61467992648225,9.62343331225929,9.71728385403904,9.88289342122399,9.88615740817739,9.89763111683604,9.89732205770707,9.84830356307244,9.82934955433311,9.84565383001211,9.76792024173548
Sym_101045_c0_g1,2.64449885089509,3.0637438968969,3.33400484955083,3.77321079475487,3.0970057416644,2.9728521284712,3.30771183115577,3.90883079792539,2.78411275050068,2.64080699375141,2.58657962096316,2.49212496620898,2.84915407688532,3.11545488951322,2.85357607911781,2.68454356687331,2.45807783209347,2.93385593001376,2.87715057757375,2.77563017916025
Sym_101057_c0_g1,10.7052462733667,10.7522642359807,10.6847299816064,11.2618825073258,10.8372646726188,10.8895552503084,10.8147498751403,11.0897806924082,10.41985279965,10.4228090469938,10.4335442043682,10.486756688999,10.9664825392181,10.5639011472172,10.8571459448406,10.53252793176,10.5080988663466,10.9070356325636,10.5836772057516,10.7940555150812
