baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
isogroupSym_100246_c0_g2	11.1137538540684	0.0740976301518869	0.374303808399101	0.197961197533102	0.843075422769913	0.92095797966865
isogroupSym_100246_c0_g3	990.242822785056	-1.10454175569471	0.150489346367852	-7.3396674406094	2.14125230029588e-13	1.81736745807937e-11
isogroupSym_100252_c0_g1	26.5995814408182	-1.11460220198658	0.25522717280225	-4.36709849405482	1.25907958758228e-05	0.000145143352975983
isogroupSym_100252_c0_g2	0.93983154925023	-0.86126206199704	1.35674209287589	-0.634801607851216	0.52555781452852	0.707488347488482
isogroupSym_100267_c0_g2	9.77841075060489	0.0185542910673788	0.348293828106725	0.0532719490558797	0.957515229866304	0.982375630638351
isogroupSym_100267_c0_g3	13.2703538273173	-0.0589835277474424	0.311209455779876	-0.189529998693749	0.849677445598423	0.924196701123661
isogroupSym_100278_c0_g1	13.8492803417679	0.207255917641939	0.29662703297682	0.698708797920437	0.484734034601422	0.675223263789629
isogroupSym_100292_c0_g1	5.94951353386697	0.548205880140383	0.54656174416096	1.00300814317319	0.31585693226849	0.519466800004025
isogroupSym_100295_c0_g1	2.85245812860043	-1.48889402523872	0.672289472829203	-2.21466211418274	0.0267832651273503	0.0871749804796382
isogroupSym_100304_c0_g2	7.74262676085166	-0.293058741917843	0.437836636984613	-0.669333530277738	0.503282742334354	0.689719033564559
isogroupSym_100304_c0_g3	0.306799516922502	1.03365466423949	1.81828946906632	0.568476406988302	0.569711521406077	NA
isogroupSym_100304_c0_g4	0.755334657579934	-0.183555718544829	1.19799641149086	-0.153218921846686	0.878225636379401	0.940029048191035
