,Control_1.1,Control_1,Control_2.1,Control_2,Control_3.1,Control_3,Control_4.1,Control_4,Cool_1,Cool_2,Cool_3,Cool_4,Heat_1.1,Heat_1,Heat_2.1,Heat_2,Heat_3.1,Heat_3,Heat_4.1,Heat_4
Sym_100918_c2_g1,3.55526491221738,3.92323765106483,3.62027200863944,3.8054416792512,3.84010931071866,3.75330976214635,3.52098719273031,3.71042701107822,3.83694215187813,3.68118040935035,3.25189792971241,3.3414951018386,3.83493505140277,4.25883179933133,4.1039462389473,4.17174488192691,3.92638506557394,3.84088228473535,4.18982516146206,3.92784739927253
Sym_100952_c0_g1,4.19096648672225,4.14370071502386,4.55579851263307,4.36033871693327,4.26164590535195,4.22311745699973,4.15360150357291,4.11035247125165,4.10246530762995,3.52209328161464,4.31720149147576,4.28391175658415,4.84457087354106,4.77633107765143,4.67917886870387,4.65776879209076,4.81880295596299,4.73469520190076,4.79368277146676,4.98244620637389
Sym_100968_c0_g1,6.31109312794141,6.53243931329734,6.33643847314951,6.47598028458443,6.38132701895817,6.58114909423515,6.11211538868954,6.47379613747928,5.69645392612738,5.66892327284412,5.50681304307267,5.95768893548551,7.02708687917308,6.88035131146723,7.09889409255851,7.01950347377818,7.01794068648869,6.90118259630151,7.1056345108546,6.81588006272624
Sym_101138_c0_g1,8.96601596856666,8.88174782724399,8.80163279467275,8.85726631302919,8.70312624710398,8.76887683855842,8.5983542702278,8.62628147973934,8.66511279966182,8.69800030142929,8.6420142056631,8.78275897418168,8.80149550764491,8.90227642091239,8.85863799261826,8.81449829401938,8.90625365297095,8.93200669036042,8.97556450658197,8.83204279136278
Sym_101146_c0_g2,1.96179905455766,1.71962239633714,1.73208635185014,1.78265277279858,2.01007371589887,1.98228178966551,2.1899682257678,1.85077130603714,1.75350483676319,1.98224575250703,1.73330876133577,1.8033849259515,1.71073995599424,2.06248038209146,1.98543207150971,2.06678283537313,1.83812334456602,2.16344657696613,1.90925644715887,1.91398373643837
Sym_101196_c1_g1,2.21440354197306,2.66141795343721,2.06495080796606,2.14310901323804,2.85524150513225,2.65464632524277,2.16312377896623,2.33147187981003,2.25055099457533,2.42679927283358,2.06636705164709,2.28321936689073,2.4021499400011,2.31862462850549,2.48232051446071,2.65472109211633,2.32755965670704,2.70723420709594,2.24006360231355,2.37347990047875
Sym_101210_c1_g3,9.22451835952557,9.25048466020932,9.12716718788319,9.05667345469882,9.24903254423354,9.30893310255778,9.32292017978461,9.22383108855682,8.92569220638497,8.92313052241356,8.89795540749366,9.04358697495243,9.2161831923215,9.24071824705682,9.26994444368177,9.27592618947662,9.3335767958359,9.302678510868,9.35862272198838,9.16281258201067
Sym_101221_c0_g1,5.09560881077079,4.99959799731177,4.80151253602628,4.67696172122778,5.02543967869104,5.1543117232002,4.72839990831002,4.88946068674048,4.9627775779735,4.71389322496755,5.03927613945811,5.30577991038205,4.95750860485364,5.05463491621501,4.96509978890718,4.74245841016201,5.17912578537275,5.18906237770514,4.90912659466087,5.05734716847798
Sym_101245_c3_g1,8.5332422809866,8.35012483041001,8.38261005485601,7.77857631092827,8.38926821745944,8.33637015929859,8.24563462019491,7.67097609411112,7.69139164209563,8.19061832595215,7.75519005040128,8.33351527393183,8.53180232547361,8.53382334857661,8.53021977440413,8.48005726180569,8.55140977101242,8.28504714714986,8.54803653014419,8.24240568436773
Sym_101245_c3_g2,6.23443323484869,6.04779487445564,6.2083969018687,6.04467573991178,6.00090466364827,6.4670854500256,6.31297652765035,6.18310834310533,6.22856402771507,5.65804418737975,6.07939014198478,5.66260220634576,6.14779302364388,6.21027233869352,6.2606279651089,6.23159989969645,6.09243149393145,6.34336165804874,6.27679088496778,6.27960527312362
