baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
isogroupSym_100466_c0_g1	138.238221487786	-0.0956812482497181	0.108774116228482	-0.879632504195555	0.379058424490148	0.595336080416015
isogroupSym_100467_c0_g1	14.6588172417446	-1.15127187991343	0.280547039360778	-4.10366790017312	4.06651086046319e-05	0.000471933108609826
isogroupSym_100475_c0_g1	1.18349988032032	-0.379553929985749	0.880123290763372	-0.43125086447439	0.666285973249311	0.820334283328684
isogroupSym_100490_c0_g1	1.16903015716209	-0.564897283173166	0.855545942957039	-0.660276970305886	0.509076106097623	0.705434032735278
isogroupSym_100492_c0_g1	20.9900382081455	-0.206439103241449	0.211208583626654	-0.977418150799993	0.328362180683227	0.547680183602124
isogroupSym_100493_c0_g1	173.474044868513	0.0708278640279745	0.0840567035521044	0.842620053308066	0.399440972110722	0.613714640792235
isogroupSym_100511_c0_g1	68.5867741934144	0.476859154311281	0.145103460089243	3.28633896130388	0.00101498791519101	0.00730229497508457
isogroupSym_100536_c1_g2	28.5282090004519	-0.760882936544629	0.181519051844391	-4.19175248445494	2.76807900528753e-05	0.000340070802558859
isogroupSym_100536_c1_g4	92.5762335506569	0.164218880202468	0.111637170240919	1.47100539943886	0.141289656663893	0.318244505080397
isogroupSym_100539_c0_g1	69.3682140170669	-0.403985776384271	0.116185566754362	-3.47707368195201	0.000506918489888108	0.00415268478880187
isogroupSym_100541_c0_g1	23.0253556099727	-0.307675623257199	0.178284101686116	-1.72576029128434	0.0843905463288238	0.224316630098579
isogroupSym_100546_c0_g1	22.6125029280895	-0.161998774009442	0.214878251858971	-0.753909586512109	0.450903513815365	0.658354196300603
isogroupSym_100571_c0_g1	57.4385722319415	0.553980821268217	0.125301108051839	4.42119650720908	9.81558566660487e-06	0.000136403758903632
isogroupSym_100572_c0_g3	81.2563621295329	0.00377814680218074	0.113031738944567	0.0334255390340727	0.973335243834474	0.987184729992773
isogroupSym_100572_c0_g4	0.699800686843066	-0.235944995927343	0.940213504427776	-0.250948316330493	0.801854068290926	NA
isogroupSym_100588_c0_g2	5.25159663964881	0.37233916658066	0.382584629909589	0.973220400068475	0.330443773980463	0.54934023373952
isogroupSym_10059_c0_g1	1.53009340949194	-0.281516484576482	0.839980332165262	-0.335146519265281	0.737514562678079	0.865129741202967
isogroupSym_100607_c0_g1	0.414061878044577	0.897488483027264	1.40076607228214	0.640712607755463	0.521709421272749	NA
isogroupSym_100611_c0_g1	122.100822628014	-0.20829232366764	0.160392877258713	-1.29863823897657	0.194068108529401	0.392316221932187
isogroupSym_100611_c0_g2	77.6697586980821	-0.264889285504679	0.142866147095027	-1.8541081347178	0.0637236911449723	0.183737214203938
